"Texto Original","Traducción"
"Venta de tickets de Cercanías","Venta de tickets de Cercanías"
"Seleccione la estación de origen","Seleccione la estación de origen"
"Seleccione la estación de destino","Seleccione la estación de destino"
"Introduzca tarjeta de crédito","Introduzca tarjeta de crédito"
"El precio de la compra es","El precio de la compra es"
"Cancelar","Cancelar"
"Pago rechazado","Pago rechazado"
"Retire tarjeta","Retire tarjeta"
"Error de Conexión","Error de Conexión"
"Retire tarjeta y billete","Retire tarjeta y billete"
"Pago aceptado","Pago aceptado"
