"Texto Original","Traducción"
"Venta de tickets de Cercanías","Commuter tickets sale"
"Seleccione la estación de origen","Select origin station"
"Seleccione la estación de destino","Select destination station"
"Introduzca tarjeta de crédito","Insert credit card"
"El precio de la compra es","The order price is"
"Cancelar","Cancel"
"Pago rechazado","Payment Rejected"
"Retire tarjeta","Take card"
"Error de Conexión","Communication Error"
"Retire tarjeta y billete","Take card and ticket"
"Pago aceptado","Payment Success"
"¿Tiene familia numerosa?","Has family card?"
"Sí","Yes"
"No","No"
